asn,count
19551,3
18049,3
197309,3
51035,3
45243,3
13693,3
33984,3
42008,3
60175,3
39537,3
34942,3
9341,3
4270,3
37693,3
39783,3
9008,3
27843,3
58397,3
211713,3
34989,3
197492,3
200970,3
50272,3
138136,3
31148,3
1742,3
41227,3
41668,3
8551,3
6866,3
16371,3
35104,3
8675,3
56981,3
51859,3
139456,3
4618,3
12709,3
33901,3
265691,3
10429,3
62068,3
13092,3
43395,3
62282,3
206557,3
203714,3
15321,3
39287,3
5563,3
35833,3
57568,3
137451,3
35244,3
136055,3
43548,3
29028,3
135682,3
395092,3
17862,3
137664,3
3839,3
24187,3
21430,3
34146,3
61029,3
56655,3
201814,3
41937,3
14080,3
47165,3
27501,3
140827,3
17839,2
43284,2
48101,2
4750,2
7588,2
25264,2
34224,2
8267,2
135918,2
204105,2
60522,2
31631,2
48095,2
45382,2
8970,2
57353,2
33846,2
211252,2
25291,2
56813,2
42965,2
50469,2
48327,2
9562,2
264685,2
263300,2
46,2
204273,2
35985,2
30612,2
31317,2
60592,2
43557,2
203453,2
205787,2
60071,2
21033,2
262212,2
63757,2
25521,2
204877,2
202539,2
20686,2
205948,2
44694,2
202592,2
12676,2
399915,2
31827,2
54373,2
5713,2
14976,2
26077,2
23024,2
132111,2
59923,2
25133,2
52888,2
31115,2
62099,2
47330,2
25400,2
48031,2
3175,2
32093,2
57270,2
30614,2
212598,2
20193,2
204490,2
9676,2
600,2
136621,2
6580,2
42868,2
210083,2
51520,2
200296,2
140817,2
5786,2
198403,2
45328,2
212221,2
38513,2
15305,2
18460,2
36937,2
22237,2
57286,2
64249,2
4581,2
327794,2
398886,2
20912,2
3741,2
37653,2
3399,2
19901,2
2833,2
25487,2
39729,2
15425,2
43647,2
40246,2
30247,2
30257,2
22709,2
54004,2
149767,2
14543,2
11014,2
137661,2
26548,2
16628,2
62,2
56374,2
56201,2
201773,2
35432,2
15805,2
399250,2
399804,2
27258,2
394380,2
201718,2
15517,2
199967,2
41541,2
47240,2
20495,2
48573,2
48494,2
59441,2
38253,2
23844,2
54253,2
197275,2
47381,2
57707,2
23913,2
49711,2
52092,2
11417,2
203918,2
2552,2
36413,2
11279,2
55359,2
51337,2
201692,2
135543,2
10838,2
399999,2
9430,2
131655,2
198500,2
7311,2
41704,2
2711,2
398779,2
53264,2
33695,2
399851,2
19383,2
197227,2
18187,2
36850,2
19969,2
139980,2
23241,2
36149,2
50840,2
31554,2
23923,2
9794,2
24163,2
6583,2
60690,2
400205,2
557,2
3361,2
43070,2
36231,2
53755,2
20135,2
7219,2
31586,2
394838,2
17501,2
57238,2
48979,2
36326,2
27882,2
2386,2
133500,2
54393,2
14737,2
400405,2
18712,2
10990,2
13501,2
64111,2
399471,2
398298,2
14615,2
64021,2
38339,2
139265,2
39375,2
328198,2
399334,2
996,2
36815,2
13776,2
398191,2
10279,2
6200,2
22323,2
15488,2
47521,2
210139,2
42240,2
139879,2
37492,2
57879,2
24516,2
28585,2
52177,2
42130,2
7784,2
41242,2
11727,2
141693,2
213296,2
201999,2
32558,2
23314,2
43160,2
50010,2
61390,2
63311,2
23588,2
38623,2
17831,2
133206,2
211975,2
23679,2
30830,2
42532,2
198921,2
48873,2
15774,2
199662,2
197696,2
45117,2
135444,2
24085,2
44901,2
50513,2
57456,2
24033,2
201577,2
23961,2
136191,2
10122,2
399230,2
201290,2
8462,2
131269,2
9697,2
39435,2
53243,2
15958,2
2508,2
1781,2
43278,2
34347,2
27665,2
54994,2
17877,2
18024,2
28233,2
15736,2
17754,2
135876,2
141508,2
7633,2
150834,2
207843,2
8256,2
197251,2
42189,2
211804,2
52368,2
52806,2
28329,2
41881,2
31263,2
10029,2
7631,2
138311,2
48707,2
328453,2
58621,2
39566,2
207176,2
59134,2
132445,2
63801,2
41549,2
4694,2
211922,2
132559,2
58678,2
12402,2
18002,2
8496,2
136334,2
39251,2
42695,2
211623,2
210154,2
211373,2
20068,2
43628,2
131435,2
135978,2
59564,2
52361,2
9319,2
11696,2
140227,2
44112,2
199765,2
133270,2
59764,2
207647,2
53087,2
35816,2
209150,2
25668,2
150493,2
265911,2
137952,2
6802,2
212136,2
44453,2
31204,2
51248,2
35699,2
264200,2
58051,2
132717,2
399587,2
39421,2
47264,2
61138,2
400636,2
18065,2
3255,2
49466,2
39264,2
31727,2
12703,2
203363,2
44692,2
6453,2
29513,2
8368,2
200534,2
45575,2
19234,2
24634,2
34858,2
31376,2
41898,2
55545,2
60024,2
31122,2
29676,2
6295,2
6711,2
18447,2
30277,2
13237,2
35625,2
210720,2
10014,2
52762,2
38156,2
24436,2
61044,2
54456,2
57468,2
11605,2
207992,2
6758,2
397666,2
262316,2
15377,2
39493,2
56373,2
49666,2
48678,2
34456,2
7806,2
212609,2
62587,2
199624,2
141968,2
12213,2
21378,2
49342,2
6868,2
200324,2
394303,2
9232,2
4983,2
19853,2
63148,2
34702,2
19994,2
25144,2
32400,2
43727,2
29485,2
23944,2
140443,2
8680,2
31257,2
11604,2
136258,2
263668,2
29974,2
46873,2
272696,2
61684,2
264562,2
398108,2
15808,2
13156,2
14754,2
23535,2
8416,2
9927,2
399522,2
264023,2
49826,2
41966,2
56635,2
53006,2
45570,2
20207,2
57069,2
268391,2
29953,2
56340,2
41302,2
46573,2
57271,2
36327,2
57172,2
35011,2
51765,2
141306,2
51132,2
8544,2
10099,2
141998,2
24154,2
133973,2
212131,2
136197,2
197720,2
264111,2
270250,2
22652,2
137969,2
55666,2
38136,2
23764,2
131627,2
140707,2
835,2
30873,2
7794,2
20130,2
15474,2
25576,2
271932,2
27928,2
149766,2
31214,2
63911,2
205282,2
134769,2
29072,2
15182,2
146772,2
15108,2
39650,2
134770,2
58851,2
212517,2
24167,2
9293,2
25408,2
10954,2
38803,2
200019,2
24226,2
61303,2
20755,2
138982,2
17809,2
133118,2
21385,2
42184,2
150206,2
208959,2
43359,2
18422,2
57494,2
17849,2
45062,2
133889,2
196922,2
35369,2
25081,2
24129,2
1764,2
9312,2
33185,2
47470,2
38845,2
8253,2
50113,2
47909,2
8001,2
200043,2
20904,2
198187,2
29076,2
30833,2
17948,2
23623,2
26606,2
9419,2
50577,2
62887,2
41861,2
55461,2
10054,2
7540,2
7642,2
49394,2
59257,2
263356,2
51896,2
15673,2
16814,2
34263,2
134000,2
44716,2
48149,2
42263,2
203592,2
50543,2
29226,2
141514,2
41722,2
55693,2
42864,2
16921,2
8905,2
210246,2
139580,2
21283,2
51685,2
55479,2
3507,2
5605,2
61244,2
131429,2
8717,2
34225,2
8580,2
8748,2
48626,2
267837,2
21341,2
16629,2
6903,2
10180,2
59815,2
135901,2
55769,2
36891,2
47541,2
17854,2
196645,2
57944,2
24757,2
57794,2
47723,2
38320,2
197078,2
20875,2
24186,2
204213,2
9770,2
18126,2
20042,2
29286,2
135987,2
38635,2
58381,2
210538,2
45538,2
197467,2
45374,2
25549,2
210460,2
17001,2
29571,2
39087,2
12846,2
7616,2
200761,2
58396,2
49800,2
20661,2
