port,count
58761,2
17506,2
4933,2
4148,2
998,2
50560,2
25933,2
33084,2
37747,2
5123,2
3554,2
8835,2
8540,2
5349,2
25034,2
8143,2
27009,2
18090,2
30021,2
30203,2
5172,2
3888,2
49838,2
31860,2
35427,2
12169,2
12101,2
12125,2
58738,2
22775,2
19082,2
12291,2
17001,2
18018,2
50042,2
46184,2
10646,2
9166,2
48524,2
21292,2
9013,2
55309,2
12441,2
12431,2
17740,2
4172,2
4316,2
2370,2
1195,2
8236,2
46395,2
26820,2
33737,2
36725,2
12285,2
12276,2
12221,2
8417,2
2605,2
2525,2
44510,2
16016,2
12117,2
18087,2
9434,2
21534,2
8729,2
34813,2
39010,2
35260,2
6653,2
18635,2
14571,2
9029,2
18008,2
48001,2
37277,2
30080,2
9192,2
4634,2
43407,2
10423,2
48329,2
17102,2
14407,2
12016,2
12533,2
25732,2
31001,2
8728,1
4646,1
8701,1
62,1
7890,1
12474,1
12488,1
2310,1
1121,1
2460,1
18029,1
9633,1
60389,1
3407,1
20182,1
12529,1
20110,1
47944,1
20404,1
44744,1
19114,1
14336,1
22532,1
46374,1
40589,1
22588,1
45291,1
53158,1
41639,1
43036,1
29927,1
27522,1
6105,1
1425,1
54120,1
21514,1
17691,1
21463,1
59794,1
23190,1
44954,1
58506,1
18313,1
42591,1
29442,1
1542,1
53056,1
23903,1
52884,1
2410,1
18827,1
17403,1
17604,1
43493,1
50359,1
16930,1
171,1
30650,1
51290,1
50170,1
12726,1
46199,1
7656,1
56684,1
30047,1
32670,1
27988,1
36649,1
33263,1
713,1
50795,1
912,1
59325,1
14658,1
28653,1
22286,1
17941,1
33265,1
2372,1
21515,1
42656,1
53281,1
7731,1
21217,1
3630,1
10775,1
34585,1
50813,1
59671,1
16746,1
58617,1
28309,1
29705,1
33785,1
4355,1
23463,1
8662,1
22497,1
4537,1
47371,1
32301,1
39228,1
17332,1
53372,1
52844,1
55679,1
16843,1
13960,1
44218,1
53420,1
4460,1
22706,1
50066,1
27096,1
45894,1
25702,1
34368,1
15303,1
19596,1
56031,1
41101,1
43410,1
38837,1
50617,1
59316,1
19159,1
31826,1
19806,1
50841,1
33854,1
17301,1
31917,1
26168,1
46921,1
4981,1
52944,1
34261,1
31308,1
49544,1
26496,1
57471,1
53065,1
37820,1
32902,1
23031,1
26781,1
59925,1
37390,1
28479,1
36701,1
28564,1
52179,1
35906,1
31364,1
25144,1
45909,1
8497,1
1145,1
56970,1
24996,1
38823,1
53512,1
18078,1
15052,1
53297,1
42308,1
56235,1
39493,1
45939,1
53366,1
53422,1
6952,1
47075,1
17083,1
37409,1
33450,1
40701,1
45823,1
25366,1
10717,1
28931,1
1211,1
56302,1
43265,1
34655,1
9290,1
38789,1
7669,1
59166,1
22390,1
42622,1
57711,1
44876,1
38058,1
1307,1
19004,1
30842,1
12534,1
58834,1
2547,1
58665,1
35621,1
53976,1
29076,1
41771,1
33605,1
7668,1
42489,1
26434,1
16756,1
53404,1
53427,1
56046,1
32984,1
59355,1
1258,1
12500,1
16764,1
43570,1
13312,1
10641,1
55537,1
14333,1
34480,1
53721,1
15481,1
53376,1
13394,1
32517,1
9975,1
22795,1
30219,1
4503,1
32134,1
14398,1
16061,1
30691,1
45152,1
26479,1
10130,1
56944,1
19997,1
57392,1
58668,1
46095,1
19200,1
12486,1
38513,1
11976,1
18560,1
43574,1
36673,1
43230,1
18130,1
5494,1
26429,1
27474,1
28513,1
7440,1
46193,1
53491,1
53988,1
46237,1
2499,1
30663,1
40695,1
36063,1
27536,1
30381,1
13176,1
51712,1
54271,1
24170,1
10674,1
45740,1
3323,1
3851,1
22579,1
42490,1
38273,1
60006,1
11808,1
35916,1
59442,1
